Start;Duration;Pitch;Velocity;Label
0.38833;0.09333;36;0.38583;"lh"
0.40500;0.08083;48;0.28346;"lh"
0.38167;0.46083;64;0.45669;"rh"
0.38583;0.48417;60;0.40945;"rh"
0.37833;0.50000;67;0.46457;"rh"
0.77833;0.47667;48;0.41732;"lh"
0.78250;0.49667;36;0.39370;"lh"
1.51917;0.08000;48;0.46457;"lh"
1.51167;0.14500;36;0.40157;"lh"
1.17500;0.48417;67;0.43307;"rh"
1.17583;0.54833;64;0.44882;"rh"
1.18333;0.61333;60;0.40157;"rh"
1.75250;0.07583;42;0.44882;"lh"
1.87583;0.06833;43;0.48819;"lh"
1.88833;0.13250;31;0.49606;"lh"
1.85250;0.58500;67;0.40157;"rh"
1.86917;0.57250;59;0.41732;"rh"
1.86500;0.58417;62;0.41732;"rh"
2.25333;0.44083;43;0.39370;"lh"
2.24083;0.48917;31;0.39370;"lh"
2.63000;0.40417;67;0.48031;"rh"
2.99833;0.10417;43;0.43307;"lh"
2.99917;0.10417;31;0.44094;"lh"
2.63417;0.50417;59;0.44882;"rh"
2.63583;0.51000;62;0.44882;"rh"
3.38750;0.12083;45;0.38583;"lh"
3.37500;0.14500;33;0.42520;"lh"
3.39500;0.54917;64;0.43307;"rh"
3.39917;0.54917;60;0.41732;"rh"
3.39917;0.56833;57;0.40945;"lh"
3.77333;0.43917;45;0.37008;"lh"
3.77167;0.46917;33;0.38583;"lh"
4.15667;0.23583;60;0.43307;"rh"
4.15333;0.24750;57;0.44094;"lh"
4.14750;0.25750;64;0.48819;"rh"
4.50667;0.05500;43;0.48819;"lh"
4.50500;0.12000;31;0.48819;"lh"
4.54167;0.12833;60;0.44882;"rh"
4.53750;0.19583;57;0.41732;"lh"
4.52917;0.24083;64;0.46457;"rh"
4.89750;0.12500;41;0.42520;"lh"
4.89000;0.14417;29;0.44882;"lh"
4.92167;0.51250;60;0.43307;"rh"
4.90917;0.56583;57;0.41732;"lh"
4.90667;0.79750;64;0.48819;"rh"
5.27500;0.44917;41;0.41732;"lh"
5.27833;0.48083;29;0.39370;"lh"
5.67917;0.38833;57;0.35433;"lh"
5.67583;0.40000;60;0.40945;"rh"
6.03250;0.05583;29;0.41732;"lh"
5.67750;0.41250;62;0.45669;"rh"
6.04417;0.05583;41;0.41732;"lh"
6.47333;0.09167;48;0.36220;"lh"
6.46000;0.11750;36;0.40945;"lh"
6.45333;0.51250;64;0.49606;"rh"
6.44500;0.52500;67;0.55118;"rh"
6.45750;0.56417;60;0.48819;"rh"
6.82583;0.45333;48;0.36220;"lh"
6.82917;0.46583;36;0.39370;"lh"
7.25083;0.42833;60;0.42520;"rh"
7.24833;0.44667;64;0.44882;"rh"
7.62000;0.07583;48;0.45669;"lh"
7.24667;0.49750;67;0.44882;"rh"
7.61917;0.14833;36;0.42520;"lh"
7.79583;0.04417;42;0.38583;"lh"
7.99583;0.12000;43;0.44882;"lh"
8.00833;0.12750;31;0.39370;"lh"
8.00833;0.42833;62;0.44882;"rh"
8.01583;0.42917;59;0.40157;"rh"
8.00417;0.44500;67;0.44094;"rh"
8.36083;0.46500;43;0.44882;"lh"
8.35667;0.50083;31;0.42520;"lh"
8.74583;0.32417;62;0.44094;"rh"
8.74167;0.35667;59;0.47244;"rh"
8.74500;0.35417;67;0.48819;"rh"
9.09417;0.06000;43;0.42520;"lh"
9.09000;0.10833;31;0.40157;"lh"
9.50750;0.10750;41;0.32283;"lh"
9.50417;0.11167;29;0.35433;"lh"
9.50833;0.73667;65;0.49606;"rh"
9.50333;0.82167;69;0.53543;"rh"
9.87167;0.75750;29;0.37008;"lh"
9.86750;0.80667;41;0.37795;"lh"
10.26417;0.41750;64;0.46457;"rh"
10.26750;0.41500;67;0.47244;"rh"
10.63000;0.20333;62;0.48819;"rh"
10.62500;0.37333;65;0.49606;"rh"
11.05000;0.08833;48;0.33071;"lh"
11.04167;0.10083;36;0.35433;"lh"
11.41750;0.08500;36;0.32283;"lh"
11.40667;0.09667;48;0.36220;"lh"
11.79583;0.32417;36;0.37008;"lh"
11.03417;1.09417;64;0.39370;"rh"
11.03333;1.09917;67;0.42520;"rh"
11.03750;1.10667;60;0.40157;"rh"
11.79917;0.34500;48;0.36220;"lh"
