Start;Duration;Pitch;Velocity;Label
6.72413;0.51724;67;0.59843;"rh"
7.24137;0.51724;69;0.60630;"rh"
7.75862;0.51724;71;0.61417;"rh"
8.27586;0.77586;72;0.61417;"rh"
9.05172;0.12931;74;0.61417;"rh"
9.18103;0.12931;72;0.59843;"rh"
9.31034;0.51724;71;0.58268;"rh"
9.82758;0.51724;76;0.64567;"rh"
10.34482;0.51724;69;0.55118;"rh"
10.86206;0.77586;74;0.62205;"rh"
11.63792;0.25862;76;0.62205;"rh"
11.89654;0.25862;74;0.59843;"rh"
12.15516;0.25862;72;0.57480;"rh"
12.41378;0.25862;71;0.56693;"rh"
12.67240;0.25862;67;0.52756;"rh"
12.93102;0.25862;69;0.56693;"rh"
13.18965;0.25862;71;0.60630;"rh"
13.44827;0.25862;72;0.62992;"rh"
13.70689;0.25862;71;0.60630;"rh"
13.96551;0.25862;72;0.62205;"rh"
14.22413;0.25862;74;0.65354;"rh"
14.48275;0.25862;76;0.66929;"rh"
14.74137;0.25862;74;0.62205;"rh"
14.99999;0.25862;76;0.64567;"rh"
15.25861;0.25862;78;0.66929;"rh"
15.51723;0.51724;79;0.66142;"rh"
16.03447;0.51724;71;0.53543;"rh"
17.06895;0.51724;69;0.56693;"rh"
17.58619;0.25862;74;0.62205;"rh"
17.84481;0.25862;72;0.59843;"rh"
18.10344;0.25862;71;0.59055;"rh"
18.36206;0.25862;69;0.56693;"rh"
18.62068;0.77586;67;0.54331;"rh"
19.39654;0.25862;67;0.57480;"rh"
19.65516;0.25862;65;0.55906;"rh"
19.91378;0.25862;64;0.55906;"rh"
20.17240;0.25862;65;0.59055;"rh"
20.43102;0.25862;67;0.62205;"rh"
20.68964;0.25862;69;0.65354;"rh"
20.94826;0.25862;67;0.60630;"rh"
21.20688;0.25862;69;0.63780;"rh"
21.46550;0.25862;71;0.66142;"rh"
21.72412;2.06896;72;0.66142;"rh"
23.79309;1.03448;71;0.59843;"rh"
0.51724;0.51724;60;0.59843;"rh"
1.03448;0.51724;62;0.60630;"rh"
1.55172;0.51724;64;0.61417;"rh"
2.06896;0.77586;65;0.61417;"rh"
2.84483;0.12931;67;0.61417;"rh"
2.97414;0.12931;65;0.59843;"rh"
3.10345;0.51724;64;0.58268;"rh"
3.62069;0.51724;69;0.64567;"rh"
