Start;Duration;Pitch;Velocity;Label
0.25000;0.25000;55;0.88976;"lh"
0.25000;0.25000;67;0.88976;"rh"
0.25000;0.25000;31;0.88976;"lh"
0.25000;0.25000;43;0.88976;"lh"
0.50000;0.25000;55;0.88976;"lh"
0.50000;0.25000;67;0.88976;"rh"
0.50000;0.25000;31;0.88976;"lh"
0.50000;0.25000;43;0.88976;"lh"
0.75000;0.25000;55;0.88976;"lh"
0.75000;0.25000;67;0.88976;"rh"
0.75000;0.25000;31;0.88976;"lh"
0.75000;0.25000;43;0.88976;"lh"
1.00000;1.00000;51;0.94488;"lh"
1.00000;1.00000;63;0.94488;"rh"
1.00000;1.00000;27;0.94488;"lh"
1.00000;1.00000;39;0.94488;"lh"
2.25000;0.25000;53;0.88976;"lh"
2.25000;0.25000;65;0.88976;"rh"
2.25000;0.25000;29;0.88976;"lh"
2.25000;0.25000;41;0.88976;"lh"
2.50000;0.25000;53;0.88976;"lh"
2.50000;0.25000;65;0.88976;"rh"
2.50000;0.25000;29;0.88976;"lh"
2.50000;0.25000;41;0.88976;"lh"
2.75000;0.25000;53;0.88976;"lh"
2.75000;0.25000;65;0.88976;"rh"
2.75000;0.25000;29;0.88976;"lh"
2.75000;0.25000;41;0.88976;"lh"
3.00000;2.00000;50;0.94488;"lh"
3.00000;2.00000;62;0.94488;"rh"
3.00000;2.00000;26;0.94488;"lh"
3.00000;2.00000;38;0.94488;"lh"
5.25000;0.25000;67;0.48031;"rh"
5.50000;0.25000;67;0.48031;"rh"
5.75000;0.25000;67;0.48031;"rh"
6.25000;0.25000;68;0.48031;"rh"
6.50000;0.25000;68;0.48031;"rh"
6.75000;0.25000;68;0.48031;"rh"
7.25000;0.25000;75;0.48031;"rh"
7.50000;0.25000;75;0.48031;"rh"
7.75000;0.25000;75;0.48031;"rh"
8.00000;1.25000;72;0.51181;"rh"
6.00000;3.25000;63;0.51181;"rh"
7.00000;2.25000;67;0.51181;"rh"
9.25000;0.25000;67;0.48031;"rh"
9.50000;0.25000;67;0.48031;"rh"
9.75000;0.25000;67;0.48031;"rh"
6.00000;4.00000;60;0.51181;"rh"
10.25000;0.25000;68;0.48031;"rh"
10.50000;0.25000;68;0.48031;"rh"
10.75000;0.25000;68;0.48031;"rh"
11.25000;0.25000;77;0.48031;"rh"
11.50000;0.25000;77;0.48031;"rh"
11.75000;0.25000;77;0.48031;"rh"
12.00000;1.25000;74;0.51181;"rh"
13.25000;0.25000;79;0.48031;"rh"
13.50000;0.25000;79;0.48031;"rh"
13.75000;0.25000;77;0.48031;"rh"
10.00000;4.00000;59;0.51181;"rh"
10.00000;4.00000;62;0.51181;"rh"
11.00000;3.25000;67;0.51181;"rh"
14.00000;0.25000;63;0.51181;"rh"
14.25000;0.25000;63;0.48031;"rh"
14.50000;0.25000;63;0.48031;"rh"
14.00000;1.00000;60;0.51181;"rh"
14.75000;0.25000;65;0.48031;"rh"
14.00000;1.01979;75;0.51181;"rh"
15.00000;0.23646;74;0.51181;"rh"
15.25000;0.25000;79;0.48031;"rh"
15.50000;0.25000;79;0.48031;"rh"
15.75000;0.25000;77;0.48031;"rh"
15.00000;1.00000;59;0.51181;"rh"
15.00000;1.25000;67;0.51181;"rh"
16.25000;0.25000;63;0.48031;"rh"
16.50000;0.25000;63;0.48031;"rh"
16.00000;1.00000;60;0.51181;"rh"
16.75000;0.25000;65;0.48031;"rh"
16.00000;1.01979;75;0.51181;"rh"
17.00000;0.23646;74;0.51181;"rh"
17.00000;0.25000;67;0.51181;"rh"
17.00000;0.25000;59;0.51181;"rh"
17.25000;0.25000;67;0.48031;"rh"
17.25000;0.25000;74;0.48031;"rh"
17.25000;0.25000;79;0.48031;"rh"
17.25000;0.25000;47;0.48031;"lh"
17.25000;0.25000;55;0.48031;"lh"
17.25000;0.25000;59;0.48031;"rh"
17.50000;0.25000;67;0.48031;"rh"
17.50000;0.25000;74;0.48031;"rh"
17.50000;0.25000;79;0.48031;"rh"
17.50000;0.25000;47;0.48031;"lh"
17.50000;0.25000;55;0.48031;"lh"
17.50000;0.25000;59;0.48031;"rh"
17.75000;0.25000;67;0.48031;"rh"
17.75000;0.25000;74;0.48031;"rh"
17.75000;0.25000;77;0.48031;"rh"
17.75000;0.25000;47;0.48031;"lh"
17.75000;0.25000;55;0.48031;"lh"
17.75000;0.25000;59;0.48031;"rh"
18.00000;0.14844;67;0.81890;"rh"
18.00000;0.14844;72;0.81890;"rh"
18.00000;0.14844;75;0.81890;"rh"
18.00000;0.14844;48;0.81890;"lh"
18.00000;0.14844;55;0.81890;"lh"
18.00000;0.14844;60;0.81890;"rh"
19.00000;0.14844;60;0.81890;"rh"
19.00000;0.14844;66;0.81890;"rh"
19.00000;0.14844;72;0.81890;"rh"
19.00000;0.14844;44;0.81890;"lh"
19.00000;0.14844;48;0.81890;"lh"
19.00000;0.14844;56;0.81890;"lh"
20.00000;0.50000;67;0.81890;"rh"
20.00000;0.50000;71;0.81890;"rh"
20.00000;0.50000;43;0.81890;"lh"
20.00000;0.50000;50;0.81890;"lh"
20.00000;0.50000;55;0.81890;"lh"
20.00000;1.00000;79;0.81890;"rh"
