Start;Duration;Pitch;Velocity;Label
2.21364;0.75455;55;0.99213;"lh"
2.21364;0.75455;59;0.99213;"rh"
2.21364;0.75455;64;0.99213;"rh"
2.96818;0.55909;55;0.99213;"lh"
2.96818;0.55909;59;0.99213;"rh"
2.96818;0.55909;64;0.99213;"rh"
3.52727;0.51591;55;0.99213;"lh"
3.52727;0.51591;59;0.99213;"rh"
3.52727;0.51591;64;0.99213;"rh"
4.04318;0.49773;55;0.99213;"lh"
4.04318;0.49773;59;0.99213;"rh"
4.04318;0.49773;64;0.99213;"rh"
4.54091;0.43636;55;0.99213;"lh"
4.54091;0.43636;59;0.99213;"rh"
4.54091;0.43636;64;0.99213;"rh"
4.97727;0.47500;55;0.99213;"lh"
4.97727;0.47500;59;0.99213;"rh"
4.97727;0.47500;64;0.99213;"rh"
5.45227;0.51591;55;0.99213;"lh"
5.45227;0.51591;59;0.99213;"rh"
5.45227;0.51591;64;0.99213;"rh"
5.96818;0.53864;55;0.99213;"lh"
5.96818;0.53864;59;0.99213;"rh"
5.96818;0.53864;64;0.99213;"rh"
6.50682;0.63636;54;0.99213;"lh"
6.50682;0.63636;57;0.99213;"lh"
6.50682;0.63636;64;0.99213;"rh"
7.14318;0.51591;54;0.99213;"lh"
7.14318;0.51591;57;0.99213;"lh"
7.14318;0.51591;64;0.99213;"rh"
7.65909;0.43864;54;0.99213;"lh"
7.65909;0.43864;57;0.99213;"lh"
7.65909;0.43864;64;0.99213;"rh"
8.09773;0.49545;54;0.99213;"lh"
8.09773;0.49545;57;0.99213;"lh"
8.09773;0.49545;64;0.99213;"rh"
8.59318;0.57500;54;0.99213;"lh"
8.59318;0.57500;57;0.99213;"lh"
8.59318;0.57500;63;0.99213;"rh"
9.16818;0.45909;54;0.99213;"lh"
9.16818;0.45909;57;0.99213;"lh"
9.16818;0.45909;63;0.99213;"rh"
9.62727;0.45455;54;0.99213;"lh"
9.62727;0.45455;57;0.99213;"lh"
9.62727;0.45455;63;0.99213;"rh"
10.08182;0.59773;54;0.99213;"lh"
10.08182;0.59773;57;0.99213;"lh"
10.08182;0.59773;63;0.99213;"rh"
0.00000;1.80909;59;0.99213;"rh"
1.80909;0.40455;71;0.99213;"rh"
2.21364;3.23864;71;0.99213;"rh"
5.45227;1.05455;72;0.99213;"rh"
6.50682;3.12045;71;0.99213;"rh"
9.62727;1.05227;72;0.99213;"rh"
