Start;Duration;Pitch;Velocity;Label
0.33665;0.24574;67;0.39370;"rh"
0.72017;0.11222;67;0.39370;"rh"
0.90767;0.41619;69;0.39370;"rh"
1.47869;0.35227;67;0.39370;"rh"
2.06960;0.40057;72;0.39370;"rh"
2.63778;0.84801;71;0.39370;"rh"
3.73721;0.28835;67;0.39370;"rh"
4.13494;0.08807;67;0.39370;"rh"
4.32670;0.35937;69;0.39370;"rh"
4.85369;0.28693;67;0.39370;"rh"
5.36221;0.44034;74;0.39370;"rh"
5.91051;0.70454;72;0.39370;"rh"
6.95312;0.21449;67;0.39370;"rh"
7.30539;0.11932;67;0.39370;"rh"
7.48721;0.35937;79;0.39370;"rh"
8.05681;0.37642;76;0.39370;"rh"
8.59090;0.39915;72;0.39370;"rh"
9.14204;0.57954;71;0.39370;"rh"
9.66476;0.70170;69;0.39370;"rh"
10.66476;0.23437;77;0.39370;"rh"
11.02840;0.10369;77;0.39370;"rh"
11.24573;0.48864;76;0.39370;"rh"
11.81249;0.55824;72;0.39370;"rh"
12.34658;0.60511;74;0.39370;"rh"
12.98294;2.04119;72;0.39370;"rh"
